word,c1,c2,source_subtlex,source_yuwei,source_xianhan,subtlex_wcount,qwen_c1_probability_distribution,qwen_c1_score,qwen_c2_probability_distribution,qwen_c2_score,lexical_structure
冰面,冰,面,1,0,0,38,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0012,""7"":0.9988}",6.9987,"{""2"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0086,""7"":0.9913}",6.9911,SUBORD
冰鞋,冰,鞋,1,1,1,29,"{""1"":0.0001,""2"":0.0,""5"":0.0007,""6"":0.4375,""7"":0.5618}",6.5607,"{""1"":0.0001,""2"":0.0001,""5"":0.0011,""6"":0.0758,""7"":0.923}",6.9214,SUBORD
冲冲,冲,冲,0,0,1,,"{""2"":0.2975,""3"":0.0314,""5"":0.0403,""6"":0.1405,""7"":0.4904}",5.1663,"{""2"":0.1017,""3"":0.048,""5"":0.0617,""6"":0.0374,""7"":0.7512}",6.1388,MORPH_RED
冲决,冲,决,0,1,1,,"{""1"":0.0001,""2"":0.0003,""5"":0.0175,""6"":0.9533,""7"":0.0288}",6.0095,"{""2"":0.0003,""3"":0.0001,""5"":0.0139,""6"":0.9749,""7"":0.0108}",5.9955,COORD
冲凉,冲,凉,1,1,1,35,"{""1"":0.0,""3"":0.0,""5"":0.0002,""6"":0.0141,""7"":0.9857}",6.9855,"{""1"":0.0,""2"":0.0,""5"":0.0004,""6"":0.011,""7"":0.9886}",6.9879,VO
冲击,冲,击,1,1,1,167,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0373,""7"":0.9626}",6.9625,"{""1"":0.0,""2"":0.0,""5"":0.0005,""6"":0.0758,""7"":0.9236}",6.923,COORD
冲刷,冲,刷,1,1,1,17,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0019,""7"":0.998}",6.998,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0041,""7"":0.9958}",6.9958,COORD
冲刺,冲,刺,1,1,1,71,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0373,""7"":0.9625}",6.9624,"{""2"":0.0003,""3"":0.0002,""5"":0.0102,""6"":0.5562,""7"":0.4331}",6.4211,COMP
冲剂,冲,剂,1,1,1,3,"{""2"":0.0041,""3"":0.0012,""5"":0.3667,""6"":0.6046,""7"":0.0234}",5.6369,"{""2"":0.0,""4"":0.0,""5"":0.0003,""6"":0.2226,""7"":0.777}",6.7766,SUBORD
冲力,冲,力,1,1,1,10,"{""1"":0.0,""4"":0.0,""5"":0.0008,""6"":0.3206,""7"":0.6786}",6.6778,"{""1"":0.0,""4"":0.0,""5"":0.0003,""6"":0.1192,""7"":0.8805}",6.8801,SUBORD
冲动,冲,动,1,1,1,700,"{""2"":0.0,""4"":0.0,""5"":0.0032,""6"":0.878,""7"":0.1188}",6.1156,"{""1"":0.0001,""2"":0.0002,""5"":0.0216,""6"":0.9193,""7"":0.0588}",6.0356,COORD
冲劲,冲,劲,1,0,0,26,"{""3"":0.0,""4"":0.0,""5"":0.0004,""6"":0.2688,""7"":0.7308}",6.7303,"{""2"":0.0,""4"":0.0,""5"":0.0003,""6"":0.2689,""7"":0.7308}",6.7305,SUBORD
冲印,冲,印,0,1,0,,"{""2"":0.0041,""3"":0.0019,""5"":0.3664,""6"":0.6041,""7"":0.0234}",5.6349,"{""2"":0.0,""3"":0.0,""5"":0.0023,""6"":0.922,""7"":0.0757}",6.0732,COORD
冲压,冲,压,1,1,1,7,"{""1"":0.0002,""2"":0.0007,""5"":0.0362,""6"":0.9346,""7"":0.0282}",5.9881,"{""2"":0.0,""4"":0.0,""5"":0.0034,""6"":0.4983,""7"":0.4983}",6.4947,COORD
冲喜,冲,喜,0,0,1,,"{""1"":0.0009,""2"":0.976,""3"":0.023,""4"":0.0001,""7"":0.0001}",2.0226,"{""1"":0.0015,""2"":0.1185,""3"":0.8754,""4"":0.0015,""5"":0.0032}",2.8864,VO
冲垮,冲,垮,1,1,0,3,"{""1"":0.0,""4"":0.0,""5"":0.0002,""6"":0.0758,""7"":0.924}",6.9237,"{""1"":0.0,""4"":0.0,""5"":0.0002,""6"":0.148,""7"":0.8518}",6.8515,COMP
冲天,冲,天,1,1,1,53,"{""1"":0.0,""4"":0.0,""5"":0.0004,""6"":0.1192,""7"":0.8804}",6.8799,"{""1"":0.0,""2"":0.0,""5"":0.0004,""6"":0.011,""7"":0.9885}",6.9879,VO
冲子,冲,子,0,0,1,,"{""1"":0.0109,""2"":0.9857,""3"":0.0031,""6"":0.0001,""7"":0.0002}",1.9933,"{""1"":0.0139,""2"":0.9716,""3"":0.0139,""6"":0.0001,""7"":0.0005}",2.0032,SFX
冲床,冲,床,1,1,1,2,"{""1"":0.0032,""2"":0.8738,""3"":0.1183,""5"":0.0017,""7"":0.0032}",2.1359,"{""1"":0.0014,""2"":0.9607,""3"":0.0372,""4"":0.0002,""7"":0.0005}",2.0385,SUBORD
冲开,冲,开,1,0,0,3,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0601,""7"":0.9398}",6.9397,"{""2"":0.0,""4"":0.0,""5"":0.0014,""6"":0.2685,""7"":0.73}",6.7284,COMP
冲扩,冲,扩,0,0,1,,"{""2"":0.796,""3"":0.0839,""5"":0.0839,""6"":0.0309,""7"":0.0054}",2.4859,"{""2"":0.0021,""3"":0.0008,""5"":0.0258,""6"":0.8555,""7"":0.1158}",6.0791,COORD
冲抵,冲,抵,0,1,1,,"{""2"":0.0003,""3"":0.0002,""5"":0.0901,""6"":0.8548,""7"":0.0546}",5.9629,"{""2"":0.0,""4"":0.0,""5"":0.0008,""6"":0.7767,""7"":0.2225}",6.2217,COORD
冲撞,冲,撞,1,1,1,67,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.023,""7"":0.9769}",6.9767,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0015,""7"":0.9985}",6.9984,COORD
冲散,冲,散,1,0,0,7,"{""1"":0.0,""2"":0.0,""5"":0.0017,""6"":0.903,""7"":0.0952}",6.0931,"{""1"":0.0001,""2"":0.0001,""5"":0.012,""6"":0.8415,""7"":0.1462}",6.1333,COMP
冲服,冲,服,0,1,1,,"{""1"":0.0001,""2"":0.0001,""5"":0.008,""6"":0.5576,""7"":0.4343}",6.4254,"{""2"":0.0003,""3"":0.0001,""5"":0.0203,""6"":0.8626,""7"":0.1167}",6.0949,COMP
冲杀,冲,杀,1,1,1,2,"{""1"":0.0,""2"":0.0,""5"":0.0002,""6"":0.0474,""7"":0.9523}",6.9519,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0086,""7"":0.9913}",6.9911,COORD
冲毁,冲,毁,1,1,0,2,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.023,""7"":0.9769}",6.9768,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0067,""7"":0.9933}",6.9932,COMP
冲泡,冲,泡,0,1,0,,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0601,""7"":0.9398}",6.9397,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0012,""7"":0.9988}",6.9987,COORD
冲洗,冲,洗,1,1,1,75,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0012,""7"":0.9988}",6.9987,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0007,""7"":0.9992}",6.9991,COORD
冲浪,冲,浪,1,1,1,866,"{""1"":0.001,""2"":0.0009,""5"":0.0615,""6"":0.3536,""7"":0.583}",6.5131,"{""1"":0.0002,""2"":0.0002,""5"":0.0213,""6"":0.55,""7"":0.4283}",6.4051,VO
冲淡,冲,淡,1,0,1,15,"{""2"":0.0,""3"":0.0,""5"":0.0371,""6"":0.9564,""7"":0.0064}",5.969,"{""2"":0.0,""4"":0.0,""5"":0.004,""6"":0.9731,""7"":0.0229}",6.0188,COMP
冲澡,冲,澡,1,1,1,35,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0067,""7"":0.9932}",6.993,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0006,""7"":0.9994}",6.9993,VO
冲犯,冲,犯,0,1,1,,"{""2"":0.0163,""3"":0.0099,""5"":0.4208,""6"":0.5403,""7"":0.0127}",5.497,"{""1"":0.0001,""2"":0.0001,""5"":0.0159,""6"":0.8666,""7"":0.1173}",6.1004,COORD
冲田,冲,田,1,0,1,5,"{""1"":0.976,""2"":0.023,""3"":0.0007,""4"":0.0,""7"":0.0003}",1.0264,"{""2"":0.2901,""3"":0.176,""5"":0.2901,""6"":0.137,""7"":0.1067}",4.1282,SUBORD
冲破,冲,破,1,0,1,68,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0019,""7"":0.9981}",6.998,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0015,""7"":0.9985}",6.9984,COMP
冲积,冲,积,1,1,1,1,"{""2"":0.0013,""3"":0.001,""5"":0.1448,""6"":0.8334,""7"":0.0196}",5.8668,"{""2"":0.001,""3"":0.0008,""5"":0.0869,""6"":0.8245,""7"":0.0869}",5.9939,VO
冲程,冲,程,1,1,1,1,"{""2"":0.3094,""3"":0.6551,""4"":0.0044,""5"":0.0254,""6"":0.0057}",2.7628,"{""2"":0.0189,""3"":0.0514,""5"":0.8047,""6"":0.0848,""7"":0.0401}",5.0053,SUBORD
冲突,冲,突,1,1,1,597,"{""1"":0.0004,""2"":0.0005,""5"":0.0579,""6"":0.9061,""7"":0.0351}",5.9733,"{""1"":0.0023,""2"":0.0038,""5"":0.099,""6"":0.7316,""7"":0.1632}",6.0372,COORD
冲绳,冲,绳,1,0,0,47,"{""1"":0.9854,""2"":0.0141,""3"":0.0004,""4"":0.0001,""7"":0.0001}",1.0154,"{""1"":0.9693,""2"":0.0293,""3"":0.0009,""4"":0.0001,""7"":0.0004}",1.0339,PLW
冲腾,冲,腾,0,1,1,,"{""2"":0.0004,""3"":0.0002,""5"":0.0292,""6"":0.9663,""7"":0.0039}",5.9725,"{""2"":0.0637,""3"":0.1051,""5"":0.6047,""6"":0.2224,""7"":0.0041}",4.8292,COORD
冲茶,冲,茶,1,0,0,2,"{""1"":0.0,""2"":0.0,""5"":0.0004,""6"":0.3774,""7"":0.6222}",6.6218,"{""1"":0.0,""2"":0.0,""5"":0.0001,""6"":0.0067,""7"":0.9932}",6.993,VO
冲要,冲,要,0,1,1,,"{""2"":0.117,""3"":0.0203,""5"":0.318,""6"":0.5243,""7"":0.0203}",5.1733,"{""1"":0.0001,""2"":0.0001,""5"":0.0033,""6"":0.3762,""7"":0.6203}",6.6162,COORD
冲账,冲,账,0,0,1,,"{""2"":0.0746,""3"":0.2029,""5"":0.5515,""6"":0.158,""7"":0.013}",4.5543,"{""2"":0.0105,""3"":0.0024,""5"":0.2116,""6"":0.7387,""7"":0.0368}",5.7759,VO
冲走,冲,走,1,0,0,63,"{""1"":0.0,""2"":0.0,""5"":0.0003,""6"":0.148,""7"":0.8517}",6.8514,"{""1"":0.0001,""2"":0.0002,""5"":0.0073,""6"":0.8455,""7"":0.1469}",6.1382,COMP
冲量,冲,量,1,0,1,1,"{""1"":0.0029,""2"":0.6187,""3"":0.3753,""4"":0.0009,""7"":0.0022}",2.3854,"{""2"":0.3028,""3"":0.6411,""5"":0.0319,""6"":0.0091,""7"":0.0151}",2.8488,SUBORD
冲销,冲,销,0,1,1,,"{""2"":0.0263,""3"":0.0338,""5"":0.6781,""6"":0.2495,""7"":0.0124}",5.1279,"{""1"":0.0004,""2"":0.0014,""5"":0.0356,""6"":0.917,""7"":0.0457}",6.0026,COORD
冲锋,冲,锋,1,1,1,50,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0012,""7"":0.9988}",6.9988,"{""1"":0.0001,""2"":0.0,""5"":0.0003,""6"":0.0052,""7"":0.9944}",6.9936,VO
冲顶,冲,顶,0,1,1,,"{""2"":0.0221,""3"":0.0172,""5"":0.3451,""6"":0.569,""7"":0.0467}",5.5618,"{""1"":0.0002,""2"":0.0002,""5"":0.0073,""6"":0.1469,""7"":0.8453}",6.836,VO
冲高,冲,高,0,0,1,,"{""2"":0.0007,""3"":0.0002,""5"":0.0171,""6"":0.9354,""7"":0.0466}",6.0262,"{""2"":0.0008,""3"":0.0002,""5"":0.0216,""6"":0.7145,""7"":0.2628}",6.2372,VO
决不,决,不,1,0,0,687,"{""1"":0.0002,""2"":0.0,""5"":0.0001,""6"":0.0041,""7"":0.9956}",6.9944,"{""1"":0.1189,""2"":0.0008,""3"":0.0005,""6"":0.0013,""7"":0.8785}",6.2794,SUBORD
决出,决,出,1,0,0,11,"{""1"":0.0,""2"":0.0001,""5"":0.0045,""6"":0.8481,""7"":0.1474}",6.1425,"{""2"":0.001,""3"":0.0007,""5"":0.1418,""6"":0.8159,""7"":0.0406}",5.8928,COMP
决别,决,别,0,0,1,,"{""2"":0.1177,""3"":0.0204,""5"":0.0337,""6"":0.6771,""7"":0.1511}",5.5854,"{""1"":0.0041,""2"":0.0142,""5"":0.0086,""6"":0.6057,""7"":0.3674}",6.2813,COORD
决口,决,口,1,1,1,2,"{""1"":0.0,""2"":0.0,""5"":0.0015,""6"":0.6214,""7"":0.3769}",6.375,"{""2"":0.0016,""3"":0.0008,""5"":0.0885,""6"":0.8401,""7"":0.069}",5.9716,VO
决堤,决,堤,1,1,0,5,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0141,""7"":0.9858}",6.9857,"{""1"":0.0001,""2"":0.0,""5"":0.0002,""6"":0.018,""7"":0.9817}",6.9808,VO
决定,决,定,1,1,1,10318,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0041,""7"":0.9959}",6.9959,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0041,""7"":0.9958}",6.9957,COORD
决心,决,心,1,1,1,398,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.011,""7"":0.989}",6.9889,"{""1"":0.0,""4"":0.0,""5"":0.0013,""6"":0.3204,""7"":0.6783}",6.6769,VO
决意,决,意,1,1,1,23,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0025,""7"":0.9975}",6.9975,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0758,""7"":0.924}",6.9238,COORD
决战,决,战,1,1,1,87,"{""1"":0.0,""4"":0.0,""5"":0.0003,""6"":0.2226,""7"":0.7771}",6.7768,"{""2"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0293,""7"":0.9706}",6.9704,VO
决斗,决,斗,1,1,1,273,"{""1"":0.0002,""2"":0.0001,""5"":0.0029,""6"":0.0756,""7"":0.9212}",6.917,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0012,""7"":0.9988}",6.9987,COORD
决断,决,断,1,1,1,45,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0004,""7"":0.9996}",6.9996,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0015,""7"":0.9985}",6.9985,COORD
决死,决,死,0,1,1,,"{""1"":0.0003,""2"":0.0001,""5"":0.0048,""6"":0.5592,""7"":0.4355}",6.4286,"{""1"":0.0,""2"":0.0,""5"":0.0002,""6"":0.0052,""7"":0.9946}",6.9943,VO
决然,决,然,1,1,1,3,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0373,""7"":0.9626}",6.9625,"{""1"":0.001,""2"":0.0006,""5"":0.0157,""6"":0.3153,""7"":0.6674}",6.6443,SUBORD
决策,决,策,1,1,1,132,"{""2"":0.0,""4"":0.0,""5"":0.0001,""6"":0.3775,""7"":0.6224}",6.6222,"{""2"":0.0004,""3"":0.0002,""5"":0.0407,""6"":0.8169,""7"":0.1419}",6.0994,VO
决算,决,算,0,1,1,,"{""2"":0.0002,""3"":0.0001,""5"":0.0271,""6"":0.8988,""7"":0.0738}",6.0456,"{""2"":0.0,""4"":0.0,""5"":0.0018,""6"":0.9225,""7"":0.0757}",6.0738,VO
决绝,决,绝,0,1,1,,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0293,""7"":0.9706}",6.9705,"{""2"":0.0,""4"":0.0,""5"":0.0012,""6"":0.2224,""7"":0.7763}",6.775,COORD
决胜,决,胜,1,1,1,53,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.023,""7"":0.977}",6.977,"{""2"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0474,""7"":0.9525}",6.9524,VO
决裂,决,裂,1,1,1,28,"{""1"":0.0,""4"":0.0,""5"":0.0002,""6"":0.148,""7"":0.8518}",6.8516,"{""1"":0.0,""4"":0.0,""5"":0.0002,""6"":0.0601,""7"":0.9397}",6.9394,COORD
决计,决,计,1,1,1,2,"{""1"":0.0001,""2"":0.0001,""5"":0.0048,""6"":0.4356,""7"":0.5593}",6.5536,"{""2"":0.0023,""3"":0.0008,""5"":0.0275,""6"":0.9111,""7"":0.0582}",6.0192,SUBORD
决议,决,议,1,1,1,81,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.1824,""7"":0.8175}",6.8175,"{""2"":0.0,""4"":0.0,""5"":0.0002,""6"":0.2227,""7"":0.7771}",6.7769,COORD
决赛,决,赛,1,1,1,989,"{""1"":0.0,""4"":0.0,""5"":0.0046,""6"":0.3193,""7"":0.676}",6.6712,"{""1"":0.0,""4"":0.0,""5"":0.0004,""6"":0.0373,""7"":0.9622}",6.9618,SUBORD
决非,决,非,1,1,0,8,"{""1"":0.9444,""2"":0.0285,""3"":0.0018,""6"":0.003,""7"":0.0222}",1.1805,"{""1"":0.0066,""2"":0.0003,""5"":0.0005,""6"":0.0066,""7"":0.9858}",6.9508,SUBORD
况且,况,且,1,1,1,154,"{""1"":0.0301,""2"":0.367,""5"":0.0819,""6"":0.4713,""7"":0.0497}",4.349,"{""1"":0.0276,""2"":0.4311,""5"":0.0354,""6"":0.4311,""7"":0.0749}",4.1774,BINOME
况味,况,味,0,0,1,,"{""2"":0.0159,""3"":0.0917,""4"":0.0059,""5"":0.8705,""6"":0.0159}",4.7787,"{""2"":0.0003,""3"":0.0003,""5"":0.4331,""6"":0.5561,""7"":0.0102}",5.5749,COORD
况士,况,士,1,0,0,1,"{""1"":0.025,""2"":0.8276,""3"":0.1438,""4"":0.0016,""7"":0.0021}",2.1323,"{""1"":0.0319,""2"":0.8226,""3"":0.1429,""4"":0.001,""7"":0.0016}",2.1209,SUBORD
冶容,冶,容,0,0,1,,"{""2"":0.1358,""3"":0.0641,""5"":0.2874,""6"":0.4738,""7"":0.0389}",5.0161,"{""2"":0.5415,""3"":0.4217,""5"":0.0127,""6"":0.0077,""7"":0.0164}",2.5726,SUBORD
冶游,冶,游,0,0,1,,"{""1"":0.0038,""2"":0.8136,""3"":0.1815,""4"":0.0005,""7"":0.0006}",2.1817,"{""1"":0.0032,""2"":0.3684,""3"":0.6074,""5"":0.0143,""7"":0.0067}",2.6808,COORD
冶炼,冶,炼,1,1,1,3,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0012,""7"":0.9988}",6.9986,"{""2"":0.0,""4"":0.0,""5"":0.0,""6"":0.0007,""7"":0.9992}",6.9992,COORD
冶艳,冶,艳,0,0,1,,"{""2"":0.0014,""3"":0.0006,""5"":0.0275,""6"":0.7095,""7"":0.261}",6.2261,"{""1"":0.0001,""2"":0.0001,""5"":0.0015,""6"":0.3769,""7"":0.6214}",6.619,COORD
冶金,冶,金,1,1,1,1,"{""1"":0.0001,""2"":0.0,""5"":0.0003,""6"":0.0032,""7"":0.9964}",6.9957,"{""2"":0.1116,""3"":0.0092,""5"":0.0527,""6"":0.1841,""7"":0.6424}",6.1157,VO
冶铸,冶,铸,0,1,0,,"{""1"":0.0001,""2"":0.0,""5"":0.0013,""6"":0.119,""7"":0.8796}",6.8779,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0041,""7"":0.9958}",6.9957,COORD
冷傲,冷,傲,1,1,1,1,"{""2"":0.0,""3"":0.0,""5"":0.0041,""6"":0.9918,""7"":0.0041}",5.9998,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.023,""7"":0.977}",6.977,COORD
冷僻,冷,僻,0,1,1,,"{""1"":0.0005,""2"":0.0018,""5"":0.0589,""6"":0.9219,""7"":0.0169}",5.9483,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0025,""7"":0.9974}",6.9973,COORD
冷光,冷,光,1,1,1,5,"{""2"":0.0104,""3"":0.0283,""4"":0.003,""5"":0.9363,""6"":0.022}",4.9313,"{""2"":0.0021,""3"":0.0035,""5"":0.8504,""6"":0.0896,""7"":0.0544}",5.1851,SUBORD
冷冻,冷,冻,1,1,1,220,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0015,""7"":0.9985}",6.9985,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0003,""7"":0.9997}",6.9997,COORD
冷冽,冷,冽,0,1,0,,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0141,""7"":0.9859}",6.9859,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0003,""7"":0.9997}",6.9997,COORD
冷凝,冷,凝,1,1,1,15,"{""2"":0.0,""4"":0.0,""5"":0.0006,""6"":0.6787,""7"":0.3206}",6.3199,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0601,""7"":0.9398}",6.9397,COORD
冷却,冷,却,1,1,1,122,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0025,""7"":0.9975}",6.9974,"{""1"":0.0007,""2"":0.0007,""5"":0.0039,""6"":0.0371,""7"":0.9576}",6.9476,COMP
冷厉,冷,厉,0,0,1,,"{""2"":0.001,""3"":0.0003,""5"":0.4989,""6"":0.4989,""7"":0.001}",5.4974,"{""2"":0.0,""4"":0.0,""5"":0.0015,""6"":0.997,""7"":0.0015}",5.9999,COORD
冷噤,冷,噤,0,0,1,,"{""1"":0.0089,""2"":0.04,""5"":0.1086,""6"":0.8026,""7"":0.04}",5.7269,"{""1"":0.0006,""2"":0.0012,""5"":0.0673,""6"":0.8199,""7"":0.111}",6.0358,SUBORD
冷场,冷,场,1,1,1,13,"{""1"":0.0032,""2"":0.0052,""5"":0.1738,""6"":0.779,""7"":0.0388}",5.8281,"{""1"":0.0141,""2"":0.5986,""3"":0.2202,""5"":0.104,""6"":0.0631}",2.7706,VO
冷天,冷,天,1,1,1,9,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0001,""7"":0.9999}",6.9999,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0032,""7"":0.9968}",6.9967,SUBORD
冷字,冷,字,0,0,1,,"{""1"":0.0012,""4"":0.0006,""5"":0.0001,""6"":0.0,""7"":0.9981}",6.9911,"{""1"":0.001,""2"":0.007,""5"":0.0669,""6"":0.1103,""7"":0.8148}",6.715,SUBORD
冷宫,冷,宫,1,1,1,1,"{""1"":0.0017,""2"":0.0027,""5"":0.0908,""6"":0.8618,""7"":0.0429}",5.9328,"{""1"":0.0069,""2"":0.0311,""5"":0.2296,""6"":0.624,""7"":0.1084}",5.7199,SUBORD
冷害,冷,害,0,0,1,,"{""1"":0.0,""2"":0.0,""5"":0.0029,""6"":0.902,""7"":0.0951}",6.0919,"{""2"":0.0009,""3"":0.0006,""5"":0.3727,""6"":0.6145,""7"":0.0113}",5.6331,SUBORD
冷寂,冷,寂,1,1,1,1,"{""2"":0.0,""4"":0.0,""5"":0.0001,""6"":0.924,""7"":0.0758}",6.0757,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.2227,""7"":0.7772}",6.7771,COORD
冷山,冷,山,1,0,0,2,"{""1"":0.0173,""2"":0.5739,""3"":0.3481,""5"":0.0471,""7"":0.0135}",2.5396,"{""1"":0.0028,""2"":0.0077,""5"":0.0269,""6"":0.073,""7"":0.8896}",6.8178,SUBORD
冷峭,冷,峭,0,1,1,,"{""1"":0.0,""2"":0.0001,""5"":0.0177,""6"":0.9683,""7"":0.0138}",5.9955,"{""1"":0.0,""2"":0.0001,""5"":0.004,""6"":0.9668,""7"":0.0292}",6.0248,COORD
冷峻,冷,峻,1,1,1,5,"{""2"":0.0,""4"":0.0,""5"":0.0005,""6"":0.9959,""7"":0.0036}",6.0031,"{""2"":0.0,""4"":0.0,""5"":0.0002,""6"":0.3208,""7"":0.6791}",6.6789,COORD
冷布,冷,布,0,1,1,,"{""1"":0.0024,""2"":0.9498,""3"":0.0473,""4"":0.0002,""7"":0.0003}",2.0469,"{""1"":0.001,""2"":0.816,""3"":0.1821,""4"":0.0005,""7"":0.0006}",2.1849,SUBORD
冷库,冷,库,1,1,1,10,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0373,""7"":0.9626}",6.9626,"{""1"":0.0,""4"":0.0,""5"":0.0002,""6"":0.0601,""7"":0.9397}",6.9393,SUBORD
冷战,冷,战,1,1,1,119,"{""2"":0.2021,""3"":0.0744,""5"":0.5495,""6"":0.1574,""7"":0.0166}",4.4355,"{""1"":0.0042,""2"":0.897,""3"":0.0945,""5"":0.0025,""7"":0.0017}",2.1066,SUBORD
冷招,冷,招,0,0,1,,"{""1"":0.002,""2"":0.8139,""3"":0.1816,""5"":0.0016,""7"":0.001}",2.1891,"{""2"":0.3765,""3"":0.6208,""4"":0.0006,""5"":0.0014,""7"":0.0006}",2.6294,SUBORD
冷敷,冷,敷,1,1,1,4,"{""1"":0.0,""4"":0.0,""5"":0.0006,""6"":0.1191,""7"":0.8802}",6.8794,"{""1"":0.0,""4"":0.0,""5"":0.0004,""6"":0.0601,""7"":0.9395}",6.939,SUBORD
冷暖,冷,暖,1,1,1,3,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0141,""7"":0.9859}",6.9859,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0012,""7"":0.9988}",6.9987,COORD
冷杉,冷,杉,1,1,1,3,"{""1"":0.044,""2"":0.2535,""5"":0.0726,""6"":0.0932,""7"":0.5366}",5.2298,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0006,""7"":0.9994}",6.9992,SUBORD
冷枪,冷,枪,1,1,1,7,"{""2"":0.213,""3"":0.0784,""5"":0.5791,""6"":0.1006,""7"":0.0288}",4.3624,"{""1"":0.0033,""2"":0.0033,""5"":0.0664,""6"":0.6296,""7"":0.2974}",6.2013,SUBORD
冷柜,冷,柜,1,1,1,24,"{""1"":0.0,""2"":0.0,""5"":0.0002,""6"":0.0373,""7"":0.9625}",6.9623,"{""2"":0.0,""4"":0.0,""5"":0.0003,""6"":0.0953,""7"":0.9043}",6.9039,SUBORD
冷气,冷,气,1,1,1,25,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0025,""7"":0.9975}",6.9974,"{""1"":0.0,""2"":0.0,""5"":0.0011,""6"":0.0758,""7"":0.9231}",6.9216,SUBORD
冷水,冷,水,1,1,1,82,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0002,""7"":0.9998}",6.9997,"{""1"":0.0,""2"":0.0,""5"":0.0001,""6"":0.0025,""7"":0.9974}",6.997,SUBORD
冷汗,冷,汗,1,1,1,29,"{""1"":0.0004,""2"":0.0009,""5"":0.1766,""6"":0.7914,""7"":0.0307}",5.8482,"{""1"":0.0002,""2"":0.0003,""5"":0.0629,""6"":0.7658,""7"":0.1709}",6.1057,SUBORD
冷泉,冷,泉,0,1,1,,"{""1"":0.0,""4"":0.0,""5"":0.001,""6"":0.1479,""7"":0.8511}",6.85,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0019,""7"":0.998}",6.998,SUBORD
